all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
10119,570546,795696,6663,5883,2674,224904


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
original sentence,"This little - noted interview with Blount 's nephew Murph Archibald , which appeared on National Public Radio 's "" All Things Considered on March 30 , 2004 , gives a devastating insight into what it was like to have to suffer through Bush in that period ."
wrong word,like
mutation sentence,"This little - noted interview ( with Blount 's nephew Murph Archibald , which appeared on National Public Radio 's "" All Things Considered on March 30 , 2004 , gives a devastating insight into what it was like to have to suffer through Bush in that period ."
mutation sentence,"This little - noted interview with Blount 's nephew Murph Archibald , which appeared on National Public Radio 's "" All Things Considered on March 30 , 2004 , gives you a devastating insight into what it was like to have to suffer through Bush in that period ."
mutation sentence,"This little - noted interview with Blount 's nephew Murph Archibald , which appeared on National Public Radio 's "" All Things Considered on March 30 , 2004 , gives a devastating insight into what exactly it was like to have to suffer through Bush in that period ."
mutation sentence,"This little - noted interview with Blount 's nephew Murph Archibald , which appeared on National Public Radio 's "" All Things Considered on March 30 , 2004 , gives a devastating insight into what actually it was like to have to suffer through Bush in that period ."
mutation sentence,"This little - noted interview with Blount 's nephew Murph Archibald , which appeared on National Public Radio 's "" All Things Considered on March 30 , 2004 , gives a devastating insight into what much it was like to have to suffer through Bush in that period ."
mutation sentence,"This little - noted interview with Blount 's nephew Murph Archibald , which appeared on National Public Radio 's "" All Things Considered on March 30 , 2004 , gives a devastating insight into what personally it was like to have to suffer through Bush in that period ."
mutation sentence,"This little - noted interview with Blount 's nephew Murph Archibald , which appeared on National Public Radio 's "" All Things Considered on March 30 , 2004 , gives a devastating insight into what it really was like to have to suffer through Bush in that period ."
mutation sentence,"This little - noted interview with Blount 's nephew Murph Archibald , which appeared on National Public Radio 's "" All Things Considered on March 30 , 2004 , gives a devastating insight into what it truly was like to have to suffer through Bush in that period ."
mutation sentence,"This little - noted interview with Blount 's nephew Murph Archibald , which appeared on National Public Radio 's "" All Things Considered on March 30 , 2004 , gives a devastating insight into what it actually was like to have to suffer through Bush in that period ."

