all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,60699,213002,728,5623,871,219287


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
original sentence,One of the more interesting of the many highrise residential buildings in Fort Lee
wrong word,interesting 5
mutation sentence,One more of the more interesting of the many highrise residential buildings in Fort Lee
mutation sentence,One of perhaps the more interesting of the many highrise residential buildings in Fort Lee
mutation sentence,One of arguably the more interesting of the many highrise residential buildings in Fort Lee
mutation sentence,One of probably the more interesting of the many highrise residential buildings in Fort Lee
mutation sentence,One of only the more interesting of the many highrise residential buildings in Fort Lee
mutation sentence,One of possibly the more interesting of the many highrise residential buildings in Fort Lee
mutation sentence,One of the more interesting of the very many highrise residential buildings in Fort Lee
mutation sentence,One of the more interesting of the so many highrise residential buildings in Fort Lee
mutation sentence,One of the more interesting of the relatively many highrise residential buildings in Fort Lee
mutation sentence,One of the more interesting of the now many highrise residential buildings in Fort Lee
mutation sentence,One of the more interesting of the then many highrise residential buildings in Fort Lee



"pos from 形容 to 副词
"
original sentence,"It has a long history in scholarship ( Baron & Beresford 2014 ) , but many key aspects of its production and significance have not yet been fully understood ."
wrong word,long 4
mutation sentence,"It has a long established history in scholarship ( Baron & Beresford 2014 ) , but many key aspects of its production and significance have not yet been fully understood ."

original sentence,The last two are considered her best work .
wrong word,best 7
mutation sentence,The last two are considered her best written work .

original sentence,"Most recently , Padalecki launched a third campaign selling a further 40,000 shirts . [ 23 ]"
wrong word,further 11
mutation sentence,"Most recently , Padalecki launched a third campaign selling a further estimated 40,000 shirts . [ 23 ]"

original sentence,“ It ’ll take that long to put Humpty back together again anyway . ”
wrong word,long 6
mutation sentence,“ It ’ll take that long just to put Humpty back together again anyway . ”
mutation sentence,“ It ’ll take that long forever to put Humpty back together again anyway . ”
mutation sentence,“ It ’ll take that long longer to put Humpty back together again anyway . ”

original sentence,"A great whiskered head arose , then a belly , wet and sleek , long enough to wrap itself twice around the world ."
wrong word,long 15
mutation sentence,"A great whiskered head arose , then a belly , wet and sleek , long enough to wrap itself round twice around the world ."
mutation sentence,"A great whiskered head arose , then a belly , wet and sleek , long enough to wrap itself safely twice around the world ."
mutation sentence,"A great whiskered head arose , then a belly , wet and sleek , long enough to wrap itself in twice around the world ."
mutation sentence,"A great whiskered head arose , then a belly , wet and sleek , long enough to wrap itself twice around the small world ."
mutation sentence,"A great whiskered head arose , then a belly , wet and sleek , long enough to wrap itself twice around the living world ."

original sentence,"One of the soldiers turned to face him , the ruby-like eyes seeming to pierce his very soul ."
wrong word,very 17
mutation sentence,"One of the soldiers turned to face him , the ruby-like eyes seeming to pierce his very inner soul ."

original sentence,""" You all right ? """
wrong word,right 4
mutation sentence,""" You all right there ? """
mutation sentence,""" You all right here ? """
mutation sentence,""" You all right now ? """

original sentence,"We can start that side of the work now , anticipating having more beasts in the future ."
wrong word,more 13
mutation sentence,"We can start that side of the work now , anticipating having more large beasts in the future ."

original sentence,It ’s the least amount of fun possible .
wrong word,least 4
mutation sentence,It ’s the least ridiculous amount of fun possible .

original sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
wrong word,next 10
mutation sentence,"Requests have come out from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , right next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and even from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and especially from the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from also the deputies of Movimento 5 Stelle ( M5S ) of the regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the Italian regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the Socialist regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the party regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the local regional counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional political counsel of Lombardy ."
mutation sentence,"Requests have come from the Municipality of Bogliasco , next to Genova , and from the deputies of Movimento 5 Stelle ( M5S ) of the regional legal counsel of Lombardy ."

original sentence,"Kathryn Waters , director of the gallery , expressed interest in further donations from the foundation in the future ."
wrong word,further 12
mutation sentence,"Kathryn Waters , director of the gallery , expressed interest in further direct donations from the foundation in the future ."

original sentence,"Steeped in culture and history , these islands are on the very edge of civilisation ."
wrong word,very 12
mutation sentence,"Steeped in culture and history , these islands are on the very cutting edge of civilisation ."
mutation sentence,"Steeped in culture and history , these islands are on the very leading edge of civilisation ."

original sentence,Set adjacent to Henga Lodge is the magnificent Henga Scenic Reserve .
wrong word,adjacent 2
mutation sentence,Set immediately adjacent to Henga Lodge is the magnificent Henga Scenic Reserve .
mutation sentence,Set just adjacent to Henga Lodge is the magnificent Henga Scenic Reserve .
mutation sentence,Set adjacent to nearby Henga Lodge is the magnificent Henga Scenic Reserve .
mutation sentence,Set adjacent to Henga Lodge is also the magnificent Henga Scenic Reserve .
mutation sentence,Set adjacent to Henga Lodge is now the magnificent Henga Scenic Reserve .
mutation sentence,Set adjacent to Henga Lodge is the very magnificent Henga Scenic Reserve .
mutation sentence,Set adjacent to Henga Lodge is the once magnificent Henga Scenic Reserve .
mutation sentence,Set adjacent to Henga Lodge is the also magnificent Henga Scenic Reserve .
mutation sentence,Set adjacent to Henga Lodge is the magnificent Henga Scenic Reserve nearby .

original sentence,A tourist visa card ( visa de tarjeta del turista ) is necessary for travelers from most nations .
wrong word,most 17
mutation sentence,A tourist visa card ( visa de tarjeta del turista ) is necessary for travelers from most developed nations .

original sentence,Regular tourists who renew their 30 day visa are eligible to depart the country ( to any destination ) and return immediately enjoying a further 60 days ( 30 days plus a 30 day extension ) .
wrong word,further 25
mutation sentence,Regular tourists who renew their 30 day visa are eligible to depart the country ( to any destination ) and return immediately enjoying a further renewable 60 days ( 30 days plus a 30 day extension ) .
mutation sentence,Regular tourists who renew their 30 day visa are eligible to depart the country ( to any destination ) and return immediately enjoying a further valid 60 days ( 30 days plus a 30 day extension ) .
