all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,178192,302960,673,947,617,127962


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
original sentence,"For this reason , institutions may also be slow to investigate accusations of fraud , and they may try to keep their discoveries in-house to protect their reputations ."
wrong word,in-house 24
mutation sentence,"For this reason , institutions may also be slow to investigate accusations of fraud , and they may try to better keep their discoveries in-house to protect their reputations ."
mutation sentence,"For this reason , institutions may also be slow to investigate accusations of fraud , and they may try to keep all their discoveries in-house to protect their reputations ."

original sentence,She wrote relatively little as a result of living a brief life — she died at 24 — but her stories had a large impact on Japanese literature and she is still appreciated by the Japanese public today .
wrong word,little 4
mutation sentence,She wrote only relatively little as a result of living a brief life — she died at 24 — but her stories had a large impact on Japanese literature and she is still appreciated by the Japanese public today .
mutation sentence,She wrote down relatively little as a result of living a brief life — she died at 24 — but her stories had a large impact on Japanese literature and she is still appreciated by the Japanese public today .

original sentence,Kiss anywhere you like and see how long your partner can keep from moving or making any noise .
wrong word,long 8
mutation sentence,Kiss anywhere you like and see how long your new partner can keep from moving or making any noise .
mutation sentence,Kiss anywhere you like and see how long your current partner can keep from moving or making any noise .
mutation sentence,Kiss anywhere you like and see how long your little partner can keep from moving or making any noise .

original sentence,“ I do n’t know how long we ’ll be . ”
wrong word,long 7
mutation sentence,“ I do n’t know how long we all ’ll be . ”

original sentence,She lay tense in the dark .
wrong word,tense 3
mutation sentence,She suddenly lay tense in the dark .

original sentence,How much more could you accomplish as an individual if you could learn any activity ?
wrong word,much 2
mutation sentence,How much more could not you accomplish as an individual if you could learn any activity ?
mutation sentence,How much more could be you accomplish as an individual if you could learn any activity ?
mutation sentence,How much more could do you accomplish as an individual if you could learn any activity ?
mutation sentence,How much more could all you accomplish as an individual if you could learn any activity ?
mutation sentence,How much more could it you accomplish as an individual if you could learn any activity ?
mutation sentence,How much more could ever you accomplish as an individual if you could learn any activity ?
mutation sentence,How much more could you accomplish yourself as an individual if you could learn any activity ?
mutation sentence,How much more could you accomplish simply as an individual if you could learn any activity ?

original sentence,Then in 2006 we ended up fourth .
wrong word,fourth 7
mutation sentence,Then in 2006 we ended it up fourth .
mutation sentence,Then in 2006 we ended right up fourth .
mutation sentence,Then in 2006 we ended well up fourth .
mutation sentence,Then in 2006 we ended just up fourth .
mutation sentence,Then in 2006 we ended again up fourth .
mutation sentence,Then in 2006 we ended only up fourth .

original sentence,you 've kept it up this long
wrong word,long 7
mutation sentence,you 've kept it up all this long

original sentence,Fort Lee is a small town but is piled high with apartment buildings .
wrong word,high 10
mutation sentence,Fort Lee is a small town but is still piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is now piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is already piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is heavily piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is also piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is densely piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is not piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is often piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is well piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is always piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with large apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with huge apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with beautiful apartment buildings .
