all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,60699,213001,728,5623,870,219287


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
original sentence,The Jacob cycle at Auckland Castle is the only UK example of a continental collection preserved in situ in purpose-built surroundings .
wrong word,only 9
mutation sentence,The Jacob cycle at Auckland Castle is the now only UK example of a continental collection preserved in situ in purpose-built surroundings .
mutation sentence,The Jacob cycle at Auckland Castle is the currently only UK example of a continental collection preserved in situ in purpose-built surroundings .
mutation sentence,The Jacob cycle at Auckland Castle is the still only UK example of a continental collection preserved in situ in purpose-built surroundings .
mutation sentence,The Jacob cycle at Auckland Castle is the probably only UK example of a continental collection preserved in situ in purpose-built surroundings .
mutation sentence,The Jacob cycle at Auckland Castle is the virtually only UK example of a continental collection preserved in situ in purpose-built surroundings .
mutation sentence,The Jacob cycle at Auckland Castle is the perhaps only UK example of a continental collection preserved in situ in purpose-built surroundings .
mutation sentence,The Jacob cycle at Auckland Castle is the then only UK example of a continental collection preserved in situ in purpose-built surroundings .
mutation sentence,The Jacob cycle at Auckland Castle is the possibly only UK example of a continental collection preserved in situ in purpose-built surroundings .
mutation sentence,The Jacob cycle at Auckland Castle is the only surviving UK example of a continental collection preserved in situ in purpose-built surroundings .
mutation sentence,The Jacob cycle at Auckland Castle is the only remaining UK example of a continental collection preserved in situ in purpose-built surroundings .
mutation sentence,The Jacob cycle at Auckland Castle is the only existing UK example of a continental collection preserved in situ in purpose-built surroundings .
mutation sentence,The Jacob cycle at Auckland Castle is the only complete UK example of a continental collection preserved in situ in purpose-built surroundings .

original sentence,Quilis ( 1964 ) was the only author so far to gather recitation-based experimental evidence on enjambment .
wrong word,only 7
mutation sentence,Quilis ( 1964 ) was the then only author so far to gather recitation-based experimental evidence on enjambment .
mutation sentence,Quilis ( 1964 ) was the still only author so far to gather recitation-based experimental evidence on enjambment .
mutation sentence,Quilis ( 1964 ) was the perhaps only author so far to gather recitation-based experimental evidence on enjambment .

original sentence,"More recently , institutions of academic expertise have been subject to a large and growing outbreak of so-called predatory journals — journals that will publish almost anything for a fee ."
wrong word,so-called 18
mutation sentence,"More recently , institutions of academic expertise have been subject to a large and growing outbreak worldwide of so-called predatory journals — journals that will publish almost anything for a fee ."

original sentence,"On the surface , it does seem as if there is variability and perhaps a larger sample size or more items could lead to a significant finding ( see limitations below ) , but at least for this study , the only significant finding was the difference between cardinal numbers and some ."
wrong word,only 42
mutation sentence,"On the surface , it does seem as if there is variability and perhaps a larger sample size or more items could lead to a significant finding ( see limitations below ) , but at least for this study , the only truly significant finding was the difference between cardinal numbers and some ."
mutation sentence,"On the surface , it does seem as if there is variability and perhaps a larger sample size or more items could lead to a significant finding ( see limitations below ) , but at least for this study , the only known significant finding was the difference between cardinal numbers and some ."
mutation sentence,"On the surface , it does seem as if there is variability and perhaps a larger sample size or more items could lead to a significant finding ( see limitations below ) , but at least for this study , the only significant observed finding was the difference between cardinal numbers and some ."

original sentence,"One indication of the importance of replication is found in the 50 or more calls for replication research in the field of second language ( L2 ) research alone ( see references for 50 calls and commentaries in Appendix S1 in the Supporting Information online ) : from Santos ( 1989 ) through Polio and Gass 1997 to very recent proposals for specific replication studies , such as Vandergrift and Cross 2017 and even a book-length treatment ( Porte , 2012 ) ."
wrong word,more 14
mutation sentence,"One indication of the importance of replication is found in the 50 or more recent calls for replication research in the field of second language ( L2 ) research alone ( see references for 50 calls and commentaries in Appendix S1 in the Supporting Information online ) : from Santos ( 1989 ) through Polio and Gass 1997 to very recent proposals for specific replication studies , such as Vandergrift and Cross 2017 and even a book-length treatment ( Porte , 2012 ) ."

original sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
wrong word,more 17
mutation sentence,"Birds also have relatively shorter , stouter femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds generally have relatively shorter , stouter femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds typically have relatively shorter , stouter femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds usually have relatively shorter , stouter femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds often have relatively shorter , stouter femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have also relatively shorter , stouter femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have typically relatively shorter , stouter femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively slightly shorter , stouter femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter slender , stouter femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter straight , stouter femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter long , stouter femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , somewhat stouter femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , slightly stouter femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , less stouter femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter upper femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter lateral femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter anterior femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter lower femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter front femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter dorsal femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter hind femora than non-avian theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian terrestrial theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian flying theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian aquatic theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian marine theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian related theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian basal theropods , presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , often presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , also presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , thus presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , generally presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , initially presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , usually presumed to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed also to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed initially to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed originally to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed instead to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed later to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed perhaps to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed today to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed then to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed primarily to be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to also be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to instead be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to originally be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to primarily be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to always be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to possibly be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to initially be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to often be associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to be better associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to be closely associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to be primarily associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to be also associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to be genetically associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to be most associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to be generally associated with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to be associated instead with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to be associated primarily with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to be associated specifically with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to be associated more with more horizontal orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to be associated with more horizontal vertical orientation ."
mutation sentence,"Birds have relatively shorter , stouter femora than non-avian theropods , presumed to be associated with more horizontal spatial orientation ."

original sentence,The current study will contribute to the development of further qualitative and quantitative research that will more clearly define the information behaviors of the transmedia fan .
wrong word,further 10
mutation sentence,The current study will contribute to the development of further more qualitative and quantitative research that will more clearly define the information behaviors of the transmedia fan .
mutation sentence,The current study will contribute to the development of further relevant qualitative and quantitative research that will more clearly define the information behaviors of the transmedia fan .
mutation sentence,The current study will contribute to the development of further interdisciplinary qualitative and quantitative research that will more clearly define the information behaviors of the transmedia fan .
mutation sentence,The current study will contribute to the development of further related qualitative and quantitative research that will more clearly define the information behaviors of the transmedia fan .
mutation sentence,The current study will contribute to the development of further rigorous qualitative and quantitative research that will more clearly define the information behaviors of the transmedia fan .

original sentence,He was not the only Scottish soldier in the Tsar 's service ; his fellow-Scots Paul Menzies and Alexander Livingston also found themselves in Russia fleeing religious intolerance or seeking adventure .
wrong word,only 5
mutation sentence,He was not the necessarily only Scottish soldier in the Tsar 's service ; his fellow-Scots Paul Menzies and Alexander Livingston also found themselves in Russia fleeing religious intolerance or seeking adventure .
mutation sentence,He was not the now only Scottish soldier in the Tsar 's service ; his fellow-Scots Paul Menzies and Alexander Livingston also found themselves in Russia fleeing religious intolerance or seeking adventure .
mutation sentence,He was not the yet only Scottish soldier in the Tsar 's service ; his fellow-Scots Paul Menzies and Alexander Livingston also found themselves in Russia fleeing religious intolerance or seeking adventure .
mutation sentence,He was not the only notable Scottish soldier in the Tsar 's service ; his fellow-Scots Paul Menzies and Alexander Livingston also found themselves in Russia fleeing religious intolerance or seeking adventure .
mutation sentence,He was not the only surviving Scottish soldier in the Tsar 's service ; his fellow-Scots Paul Menzies and Alexander Livingston also found themselves in Russia fleeing religious intolerance or seeking adventure .

original sentence,"She was described by The Guardian of London as the ' Queen of the curve ' , who "" liberated architectural geometry , giving it a whole new expressive identity . """
wrong word,whole 27
mutation sentence,"She also was described by The Guardian of London as the ' Queen of the curve ' , who "" liberated architectural geometry , giving it a whole new expressive identity . """
mutation sentence,"She then was described by The Guardian of London as the ' Queen of the curve ' , who "" liberated architectural geometry , giving it a whole new expressive identity . """
mutation sentence,"She subsequently was described by The Guardian of London as the ' Queen of the curve ' , who "" liberated architectural geometry , giving it a whole new expressive identity . """
