all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
10119,570546,795696,6663,5883,2674,224904


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
original sentence,"The enhanced US presence in western Afghanistan was only made possible after the ousting of Ismail Khan , the warlord and Governor of Herat province last month , who was a close ally of Iranian hardliners ."
wrong word,last
mutation sentence,"The enhanced US presence in western Afghanistan was only made possible after the ousting of Ismail Khan , the warlord and Governor of Herat province last the month , who was a close ally of Iranian hardliners ."

original sentence,"His explosive temper probably provoked the disastrous siege of Fallujah last spring , killing 600 Iraqis , most of them women and children , in revenge for the deaths of 4 civilian mercenaries , one of them a South African ."
wrong word,last
mutation sentence,"His explosive temper probably provoked the disastrous siege of Fallujah last the spring , killing 600 Iraqis , most of them women and children , in revenge for the deaths of 4 civilian mercenaries , one of them a South African ."

original sentence,The above services provide no value to me personally .
wrong word,above
mutation sentence,The mentioned above services provide no value to me personally .

original sentence,I have a change in plans next week .
wrong word,next
mutation sentence,I have a change in plans next the week .
mutation sentence,I have a change in plans next the week .
mutation sentence,I have a change in plans next the week .

original sentence,spreadsheet recalculation of OBSF option premium utilising the above manually created position analysis
wrong word,above
mutation sentence,spreadsheet recalculation of OBSF option premium utilising the following above manually created position analysis
mutation sentence,spreadsheet recalculation of OBSF option premium utilising the mentioned above manually created position analysis
mutation sentence,spreadsheet recalculation of OBSF option premium utilising the described above manually created position analysis

original sentence,The Corporate requirement to lower working capital usage for the Merchanting business irrespective of the above parochial business issues .
wrong word,above
mutation sentence,The Corporate requirement to lower working capital usage for the Merchanting business irrespective of the above the parochial business issues .

original sentence,"The connection , however , lies in an order issued last year by President Hu Jintao to seek secure oil supplies abroad - preferably ones which could not be stopped by America in case of conflict over Taiwan ."
wrong word,last
mutation sentence,"The connection , however , lies in an order issued last the year by President Hu Jintao to seek secure oil supplies abroad - preferably ones which could not be stopped by America in case of conflict over Taiwan ."

original sentence,""" One of the major , most well - documented and robust findings in ecology over the past century has been the crucial role of climate in determining the geographical distribution of species and ecological communities , "" concluded a report titled "" Observed Impacts of Global Climate Change in the United States , "" released by the Pew Center on Global Climate last week ."
wrong word,last
mutation sentence,""" One of the major , most well - documented and robust findings in ecology over the past century has been the crucial role of climate in determining the geographical distribution of species and ecological communities , "" concluded a report titled "" Observed Impacts of Global Climate Change in the United States , "" released by the Pew Center on Global Climate last the week ."

original sentence,He was trained to a harness / leash for outside time but he knew to use the litter pan inside .
wrong word,outside
mutation sentence,He was trained to a harness / leash for outside the time but he knew to use the litter pan inside .
mutation sentence,He was trained to a harness / leash for outside his time but he knew to use the litter pan inside .

original sentence,( An outside water park ! )
wrong word,outside
mutation sentence,( An outside the water park ! )

original sentence,Some friends of mine visited Dartmouth in Devon whilst on holiday last summer .
wrong word,last
mutation sentence,Some friends of mine visited Dartmouth in Devon whilst on holiday last the summer .

original sentence,Last time I got a medium rat it was a girl and my snake handled her easily .
wrong word,Last
mutation sentence,Last the time I got a medium rat it was a girl and my snake handled her easily .

original sentence,I 'm looking to visit India with some mates at the beginning of February next year and I am wandering what standard of accommodation we could get for Rs 500 per person per night .
wrong word,next
mutation sentence,I 'm looking to visit India with some mates at the beginning of February next the year and I am wandering what standard of accommodation we could get for Rs 500 per person per night .

original sentence,Seince he recieved the fluids last night he said not to worry about drinking water for at least a couple of days .
wrong word,last
mutation sentence,Seince he recieved the fluids last the night he said not to worry about drinking water for at least a couple of days .

original sentence,If you are serious about working out in a non-commercial like atmosphere then you have chosen the best place to be .
wrong word,like
mutation sentence,If you are serious about working out in a more non-commercial like atmosphere then you have chosen the best place to be .
mutation sentence,If you are serious about working out in a non-commercial like sports atmosphere then you have chosen the best place to be .
mutation sentence,If you are serious about working out in a non-commercial like working atmosphere then you have chosen the best place to be .
mutation sentence,If you are serious about working out in a non-commercial like work atmosphere then you have chosen the best place to be .

original sentence,"Also , I purchased some furniture last year and all has been great !"
wrong word,last
mutation sentence,"Also , I purchased some furniture last the year and all has been great !"

original sentence,I work with him and since past 6 years he is hosting his websites to Liquidweb .
wrong word,past
mutation sentence,I work with him and since past the 6 years he is hosting his websites to Liquidweb .
mutation sentence,I work with him and since past about 6 years he is hosting his websites to Liquidweb .
mutation sentence,I work with him and since past this 6 years he is hosting his websites to Liquidweb .
mutation sentence,I work with him and since past his 6 years he is hosting his websites to Liquidweb .
mutation sentence,I work with him and since past these 6 years he is hosting his websites to Liquidweb .



"pos from 形容 to 副词
"
original sentence,"Indeed , given how Bush has rampaged around the world alienating allies and ignoring vital conflicts with the potential to blow back on the US , one might well argue that Edwards knows more now than Bush does ."
wrong word,more
mutation sentence,"Indeed , given how Bush has rampaged around the world alienating allies and ignoring vital conflicts with the potential to blow back on the US , one might well argue that Edwards knows far more now than Bush does ."
mutation sentence,"Indeed , given how Bush has rampaged around the world alienating allies and ignoring vital conflicts with the potential to blow back on the US , one might well argue that Edwards knows even more now than Bush does ."
