all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,181729,308991,1949,2471,1191,135144


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
original sentence,Last year she came up to me during one of the games late in the season ; she was so happy we were going to the post season .
wrong word,Last
mutation sentence,Last the year she came up to me during one of the games late in the season ; she was so happy we were going to the post season .



"pos from 形容 to 副词
"
original sentence,The Jacob cycle at Auckland Castle is the only UK example of a continental collection preserved in situ in purpose-built surroundings .
wrong word,only
mutation sentence,The Jacob cycle at Auckland Castle is the only known UK example of a continental collection preserved in situ in purpose-built surroundings .

original sentence,"For example , the Frontiers contingent of journals appears legitimate — at least to me — despite the fact that authors are expected to pay a publication fee . 8"
wrong word,least
mutation sentence,"For example , the Frontiers contingent of journals appears legitimate — at least to a me — despite the fact that authors are expected to pay a publication fee . 8"
mutation sentence,"For example , the Frontiers contingent of journals appears legitimate — at least to some me — despite the fact that authors are expected to pay a publication fee . 8"

original sentence,"On the surface , it does seem as if there is variability and perhaps a larger sample size or more items could lead to a significant finding ( see limitations below ) , but at least for this study , the only significant finding was the difference between cardinal numbers and some ."
wrong word,only
mutation sentence,"On the surface , it does seem as if there is variability and perhaps a larger sample size or more items could lead to a significant finding ( see limitations below ) , but at least for this study , the only known significant finding was the difference between cardinal numbers and some ."

original sentence,He was not the only Scottish soldier in the Tsar 's service ; his fellow-Scots Paul Menzies and Alexander Livingston also found themselves in Russia fleeing religious intolerance or seeking adventure .
wrong word,only
mutation sentence,He was not the only successful Scottish soldier in the Tsar 's service ; his fellow-Scots Paul Menzies and Alexander Livingston also found themselves in Russia fleeing religious intolerance or seeking adventure .
mutation sentence,He was not the only experienced Scottish soldier in the Tsar 's service ; his fellow-Scots Paul Menzies and Alexander Livingston also found themselves in Russia fleeing religious intolerance or seeking adventure .
mutation sentence,He was not the only exiled Scottish soldier in the Tsar 's service ; his fellow-Scots Paul Menzies and Alexander Livingston also found themselves in Russia fleeing religious intolerance or seeking adventure .
mutation sentence,He was not the only loyal Scottish soldier in the Tsar 's service ; his fellow-Scots Paul Menzies and Alexander Livingston also found themselves in Russia fleeing religious intolerance or seeking adventure .
mutation sentence,He was not the only active Scottish soldier in the Tsar 's service ; his fellow-Scots Paul Menzies and Alexander Livingston also found themselves in Russia fleeing religious intolerance or seeking adventure .

original sentence,“ It ’ll take that long to put Humpty back together again anyway . ”
wrong word,long
mutation sentence,“ It ’ll take that too long to put Humpty back together again anyway . ”
mutation sentence,“ It ’ll take that very long to put Humpty back together again anyway . ”
mutation sentence,“ It ’ll take that so long to put Humpty back together again anyway . ”
mutation sentence,“ It ’ll take that long not to put Humpty back together again anyway . ”
mutation sentence,“ It ’ll take that long forever to put Humpty back together again anyway . ”
mutation sentence,“ It ’ll take that long only to put Humpty back together again anyway . ”
mutation sentence,“ It ’ll take that long to actually put Humpty back together again anyway . ”
mutation sentence,“ It ’ll take that long to really put Humpty back together again anyway . ”
mutation sentence,“ It ’ll take that long to even put Humpty back together again anyway . ”
mutation sentence,“ It ’ll take that long to properly put Humpty back together again anyway . ”
mutation sentence,“ It ’ll take that long to fully put Humpty back together again anyway . ”
mutation sentence,“ It ’ll take that long to completely put Humpty back together again anyway . ”
mutation sentence,“ It ’ll take that long to finally put Humpty back together again anyway . ”
mutation sentence,“ It ’ll take that long to put your Humpty back together again anyway . ”
mutation sentence,“ It ’ll take that long to put our Humpty back together again anyway . ”
mutation sentence,“ It ’ll take that long to put his Humpty back together again anyway . ”

original sentence,"Jacques Chalmers was not alone in his frustration with the current situation , but he was doubtless one of the most panicked ."
wrong word,alone
mutation sentence,"Jacques Chalmers was not alone now in his frustration with the current situation , but he was doubtless one of the most panicked ."
mutation sentence,"Jacques Chalmers was not alone entirely in his frustration with the current situation , but he was doubtless one of the most panicked ."
mutation sentence,"Jacques Chalmers was not alone again in his frustration with the current situation , but he was doubtless one of the most panicked ."

original sentence,"Though most hid it well , he was convinced they were all as nervous and scared as he was - knowing they could well be speeding only to their own deaths ."
wrong word,most
mutation sentence,"Though the most hid it well , he was convinced they were all as nervous and scared as he was - knowing they could well be speeding only to their own deaths ."
mutation sentence,"Though not most hid it well , he was convinced they were all as nervous and scared as he was - knowing they could well be speeding only to their own deaths ."
mutation sentence,"Though most hid from it well , he was convinced they were all as nervous and scared as he was - knowing they could well be speeding only to their own deaths ."
mutation sentence,"Though most hid behind it well , he was convinced they were all as nervous and scared as he was - knowing they could well be speeding only to their own deaths ."

original sentence,"This day had crept ever closer as cities , planets and then entire star systems had fallen to the Enemy ; to those damned Pandorans ; to the Senate 's mistake ."
wrong word,closer
mutation sentence,"This day had crept ever closer still as cities , planets and then entire star systems had fallen to the Enemy ; to those damned Pandorans ; to the Senate 's mistake ."

original sentence,"Moments later , his craft was taxied to the catapult and before long he 'd found himself out in space and into the thick of battle ."
wrong word,long
mutation sentence,"Moments later , his craft was taxied to the catapult and then before long he 'd found himself out in space and into the thick of battle ."
mutation sentence,"Moments later , his craft was taxied to the catapult and almost before long he 'd found himself out in space and into the thick of battle ."
mutation sentence,"Moments later , his craft was taxied to the catapult and there before long he 'd found himself out in space and into the thick of battle ."
mutation sentence,"Moments later , his craft was taxied to the catapult and all before long he 'd found himself out in space and into the thick of battle ."
mutation sentence,"Moments later , his craft was taxied to the catapult and so before long he 'd found himself out in space and into the thick of battle ."
mutation sentence,"Moments later , his craft was taxied to the catapult and before long he they 'd found himself out in space and into the thick of battle ."
mutation sentence,"Moments later , his craft was taxied to the catapult and before long he He 'd found himself out in space and into the thick of battle ."

original sentence,"This I would have asked him had he not been so far away , but he was very far , and could not be seen at all when he drew nigh that gigantic reef ."
wrong word,far
mutation sentence,"This I would have asked him had he not been so far away , but he was already very far , and could not be seen at all when he drew nigh that gigantic reef ."
mutation sentence,"This I would have asked him had he not been so far away , but he was very not far , and could not be seen at all when he drew nigh that gigantic reef ."

original sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
wrong word,better
mutation sentence,"I could see into even his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head far better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head almost better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head now better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head maybe better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."

original sentence,"I was awake and lying in bed next morning , looking idly at the wonderful images and inscriptions all around my room , when suddenly I heard the sound of trumpets , as if a procession were already underway ."
wrong word,next
mutation sentence,"I was awake and lying in bed next that morning , looking idly at the wonderful images and inscriptions all around my room , when suddenly I heard the sound of trumpets , as if a procession were already underway ."

original sentence,"People want to learn more practical skills , and for the most part the internet does n't provide enough quality information yet ."
wrong word,most
mutation sentence,"People want to learn more practical skills , and for the most a part the internet does n't provide enough quality information yet ."
wrong word,enough
mutation sentence,"People want to learn more practical skills , and for the most part the internet does n't provide enough good quality information yet ."

original sentence,"You have a long career in poetry , but as of late the attention you have garnered is for the Mets-inspired work ."
wrong word,late
mutation sentence,"You have a long career in poetry , but as of late the only attention you have garnered is for the Mets-inspired work ."
mutation sentence,"You have a long career in poetry , but as of late the best attention you have garnered is for the Mets-inspired work ."

original sentence,We ’ll attack People Magazine ’s coverage of Britney as much as Britney .
wrong word,much
mutation sentence,We ’ll attack People Magazine ’s coverage of Britney as I much as Britney .

original sentence,We do n’t want to just traffic in the same 24 hour news cycle .
wrong word,just
mutation sentence,We do n’t want to just be traffic in the same 24 hour news cycle .
mutation sentence,We do n’t want to just channel traffic in the same 24 hour news cycle .
mutation sentence,We do n’t want to just traffic everyone in the same 24 hour news cycle .
mutation sentence,We do n’t want to just traffic them in the same 24 hour news cycle .
mutation sentence,We do n’t want to just traffic it in the same 24 hour news cycle .
mutation sentence,We do n’t want to just traffic everything in the same 24 hour news cycle .
mutation sentence,We do n’t want to just traffic in at the same 24 hour news cycle .
mutation sentence,We do n’t want to just traffic in under the same 24 hour news cycle .
mutation sentence,We do n’t want to just traffic in all the same 24 hour news cycle .

original sentence,"Jeff Rathke , the State Department Spokesperson , said , "" We urge the governments of the region to work together quickly , first and foremost , to save the lives of migrants now at sea who are in need of an immediate rescue effort "" ."
wrong word,first
mutation sentence,"Jeff Rathke , the State Department Spokesperson , said , "" We urge the governments of the region to work together quickly , first and the foremost , to save the lives of migrants now at sea who are in need of an immediate rescue effort "" ."
mutation sentence,"Jeff Rathke , the State Department Spokesperson , said , "" We urge the governments of the region to work together quickly , first and perhaps foremost , to save the lives of migrants now at sea who are in need of an immediate rescue effort "" ."
mutation sentence,"Jeff Rathke , the State Department Spokesperson , said , "" We urge the governments of the region to work together quickly , first and possibly foremost , to save the lives of migrants now at sea who are in need of an immediate rescue effort "" ."
mutation sentence,"Jeff Rathke , the State Department Spokesperson , said , "" We urge the governments of the region to work together quickly , first and truly foremost , to save the lives of migrants now at sea who are in need of an immediate rescue effort "" ."
mutation sentence,"Jeff Rathke , the State Department Spokesperson , said , "" We urge the governments of the region to work together quickly , first and probably foremost , to save the lives of migrants now at sea who are in need of an immediate rescue effort "" ."
mutation sentence,"Jeff Rathke , the State Department Spokesperson , said , "" We urge the governments of the region to work together quickly , first and a foremost , to save the lives of migrants now at sea who are in need of an immediate rescue effort "" ."
mutation sentence,"Jeff Rathke , the State Department Spokesperson , said , "" We urge the governments of the region to work together quickly , first and not foremost , to save the lives of migrants now at sea who are in need of an immediate rescue effort "" ."
mutation sentence,"Jeff Rathke , the State Department Spokesperson , said , "" We urge the governments of the region to work together quickly , first and foremost internationally , to save the lives of migrants now at sea who are in need of an immediate rescue effort "" ."
mutation sentence,"Jeff Rathke , the State Department Spokesperson , said , "" We urge the governments of the region to work together quickly , first and foremost together , to save the lives of migrants now at sea who are in need of an immediate rescue effort "" ."
mutation sentence,"Jeff Rathke , the State Department Spokesperson , said , "" We urge the governments of the region to work together quickly , first and foremost internally , to save the lives of migrants now at sea who are in need of an immediate rescue effort "" ."
mutation sentence,"Jeff Rathke , the State Department Spokesperson , said , "" We urge the governments of the region to work together quickly , first and foremost globally , to save the lives of migrants now at sea who are in need of an immediate rescue effort "" ."
mutation sentence,"Jeff Rathke , the State Department Spokesperson , said , "" We urge the governments of the region to work together quickly , first and foremost locally , to save the lives of migrants now at sea who are in need of an immediate rescue effort "" ."
mutation sentence,"Jeff Rathke , the State Department Spokesperson , said , "" We urge the governments of the region to work together quickly , first and foremost strategically , to save the lives of migrants now at sea who are in need of an immediate rescue effort "" ."
mutation sentence,"Jeff Rathke , the State Department Spokesperson , said , "" We urge the governments of the region to work together quickly , first and foremost immediately , to save the lives of migrants now at sea who are in need of an immediate rescue effort "" ."
mutation sentence,"Jeff Rathke , the State Department Spokesperson , said , "" We urge the governments of the region to work together quickly , first and foremost collectively , to save the lives of migrants now at sea who are in need of an immediate rescue effort "" ."
mutation sentence,"Jeff Rathke , the State Department Spokesperson , said , "" We urge the governments of the region to work together quickly , first and foremost politically , to save the lives of migrants now at sea who are in need of an immediate rescue effort "" ."
mutation sentence,"Jeff Rathke , the State Department Spokesperson , said , "" We urge the governments of the region to work together quickly , first and foremost effectively , to save the lives of migrants now at sea who are in need of an immediate rescue effort "" ."

original sentence,The station staff at Chiang Kai Shek Memorial Hall Station do an excellent job of crowd control but lines for the subway can still be hours long and very exhausting .
wrong word,long
mutation sentence,The station staff at Chiang Kai Shek Memorial Hall Station do an excellent job of crowd control but lines for the subway can still be hours long and be very exhausting .

original sentence,""" I thought that in real life it was really kind of magical , "" Allton said ."
wrong word,kind
mutation sentence,""" I thought that in real life it was really just kind of magical , "" Allton said ."

original sentence,Aeromexico staff at Cancun airport claim that only citizens of China and Russia need no visa .
wrong word,only
mutation sentence,Aeromexico staff at Cancun airport claim here that only citizens of China and Russia need no visa .
mutation sentence,Aeromexico staff at Cancun airport claim instead that only citizens of China and Russia need no visa .
mutation sentence,Aeromexico staff at Cancun airport claim also that only citizens of China and Russia need no visa .
mutation sentence,Aeromexico staff at Cancun airport claim that not only citizens of China and Russia need no visa .
mutation sentence,Aeromexico staff at Cancun airport claim that currently only citizens of China and Russia need no visa .
mutation sentence,Aeromexico staff at Cancun airport claim that now only citizens of China and Russia need no visa .
mutation sentence,Aeromexico staff at Cancun airport claim that today only citizens of China and Russia need no visa .
mutation sentence,Aeromexico staff at Cancun airport claim that only the citizens of China and Russia need no visa .
mutation sentence,Aeromexico staff at Cancun airport claim that only foreign citizens of China and Russia need no visa .
mutation sentence,Aeromexico staff at Cancun airport claim that only dual citizens of China and Russia need no visa .
mutation sentence,Aeromexico staff at Cancun airport claim that only citizens only of China and Russia need no visa .
mutation sentence,Aeromexico staff at Cancun airport claim that only citizens of China and not Russia need no visa .
mutation sentence,Aeromexico staff at Cancun airport claim that only citizens of China and Russia need . no visa .

original sentence,"Other than eating , or shopping , or shopping for food , there is not much else to do unless you work in Fort Lee ."
wrong word,much
mutation sentence,"Other than eating , or shopping , or shopping for food , there is not much else really to do unless you work in Fort Lee ."
mutation sentence,"Other than eating , or shopping , or shopping for food , there is not much else to can do unless you work in Fort Lee ."

