all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
10119,218208,721708,1682,14441,1928,679394


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
original sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to get much busier too .
wrong word,about 19
mutation sentence,Jared just told me you always have a BUNCH of stuff on your plate and I think you are about to get much busier too .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and that I think you are about to get much busier too .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I really think you are about to get much busier too .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I also think you are about to get much busier too .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I honestly think you are about to get much busier too .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to suddenly get much busier too .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to really get much busier too .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to get so much busier too .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to get much busier now too .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to get much busier lately too .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to get much busier too now .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to get much busier too here .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to get much busier too son .

original sentence,Dinner was also an up - and - down experience .
wrong word,down 9
mutation sentence,Dinner was also an up - and low - down experience .



"pos from 形容 to 副词
"
original sentence,SNAP is right in part .
wrong word,right 3
mutation sentence,SNAP is right in part II .
mutation sentence,SNAP is right in part 1 .
mutation sentence,SNAP is right in part ii .

original sentence,"In the long run , Spain itself will pay even more ."
wrong word,more 11
mutation sentence,"In the long run , Spain itself will pay off even more ."

original sentence,Sorry that this response looks so long .
wrong word,long 7
mutation sentence,Sorry that this response looks up so long .

original sentence,I hope the above is clear .
wrong word,above 4
mutation sentence,I hope all the above is clear .

original sentence,"The Transaction is for hot rolled steel with a thickness of 1 "" and a width of 72 inches ."
wrong word,hot 5
mutation sentence,"The Steel Transaction is for hot rolled steel with a thickness of 1 "" and a width of 72 inches ."
mutation sentence,"The Standard Transaction is for hot rolled steel with a thickness of 1 "" and a width of 72 inches ."
mutation sentence,"The Final Transaction is for hot rolled steel with a thickness of 1 "" and a width of 72 inches ."
mutation sentence,"The First Transaction is for hot rolled steel with a thickness of 1 "" and a width of 72 inches ."
mutation sentence,"The Main Transaction is for hot rolled steel with a thickness of 1 "" and a width of 72 inches ."
mutation sentence,"The Second Transaction is for hot rolled steel with a thickness of 1 "" and a width of 72 inches ."
mutation sentence,"The first Transaction is for hot rolled steel with a thickness of 1 "" and a width of 72 inches ."
mutation sentence,"The Transaction is for hot rolled stainless steel with a thickness of 1 "" and a width of 72 inches ."
mutation sentence,"The Transaction is for hot rolled carbon steel with a thickness of 1 "" and a width of 72 inches ."
mutation sentence,"The Transaction is for hot rolled structural steel with a thickness of 1 "" and a width of 72 inches ."
