all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,125764,215951,1069,1298,853,97641


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
original sentence,"It is the only cycle to be preserved in purpose-built surroundings in the UK , and one of very few of its kind in the world ."
wrong word,only 4
mutation sentence,"It is the only complete cycle to be preserved in purpose-built surroundings in the UK , and one of very few of its kind in the world ."
mutation sentence,"It is the only such cycle to be preserved in purpose-built surroundings in the UK , and one of very few of its kind in the world ."

original sentence,Quilis ( 1964 ) was the only author so far to gather recitation-based experimental evidence on enjambment .
wrong word,only 7
mutation sentence,Quilis ( 1964 ) was the only published author so far to gather recitation-based experimental evidence on enjambment .

original sentence,"For this reason , institutions may also be slow to investigate accusations of fraud , and they may try to keep their discoveries in-house to protect their reputations ."
wrong word,in-house 24
mutation sentence,"For this reason , institutions may also be slow to investigate accusations of fraud , and they may try to better keep their discoveries in-house to protect their reputations ."
mutation sentence,"For this reason , institutions may also be slow to investigate accusations of fraud , and they may try to keep their discoveries in-house simply to protect their reputations ."
mutation sentence,"For this reason , institutions may also be slow to investigate accusations of fraud , and they may try to keep their discoveries in-house just to protect their reputations ."

original sentence,She wrote relatively little as a result of living a brief life — she died at 24 — but her stories had a large impact on Japanese literature and she is still appreciated by the Japanese public today .
wrong word,little 4
mutation sentence,She wrote only relatively little as a result of living a brief life — she died at 24 — but her stories had a large impact on Japanese literature and she is still appreciated by the Japanese public today .

original sentence,"The only other Pirates player to have a four-hit game so early in his career was Jack Merson , who went 4-for-5 in his second major league game on September 15 , 1951 . [ 11 ]"
wrong word,only 2
mutation sentence,"The then only other Pirates player to have a four-hit game so early in his career was Jack Merson , who went 4-for-5 in his second major league game on September 15 , 1951 . [ 11 ]"
mutation sentence,"The only known other Pirates player to have a four-hit game so early in his career was Jack Merson , who went 4-for-5 in his second major league game on September 15 , 1951 . [ 11 ]"

