all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
10119,570546,795696,6663,5883,2674,224904


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
original sentence,This difference is mainly due to the following :
wrong word,due
mutation sentence,This difference is however mainly due to the following :
mutation sentence,This difference is likely mainly due to the following :

original sentence,"However , if they have been vomiting numerous times , then the blood could be due to irritation of the stomach and intestines ."
wrong word,due
mutation sentence,"However , if they have been vomiting numerous times , then the blood could be due to irritation of the stomach and intestines ) ."



"pos from 形容 to 副词
"
original sentence,"Unless New Delhi does better in providing security to its own nationals against rebels , secessionists , drug runners and arms traffickers , it will not generate much confidence in the capitals of surrounding nations ."
wrong word,better
mutation sentence,"Unless the New Delhi does better in providing security to its own nationals against rebels , secessionists , drug runners and arms traffickers , it will not generate much confidence in the capitals of surrounding nations ."
mutation sentence,"Unless a New Delhi does better in providing security to its own nationals against rebels , secessionists , drug runners and arms traffickers , it will not generate much confidence in the capitals of surrounding nations ."
mutation sentence,"Unless New Delhi does better off in providing security to its own nationals against rebels , secessionists , drug runners and arms traffickers , it will not generate much confidence in the capitals of surrounding nations ."

original sentence,"His delight in killing people became a campaign issue in 2000 when he seemed , in one debate , to enjoy the prospect of executing wrong - doers a little too much ."
wrong word,much
mutation sentence,"His delight in killing people became a campaign issue in 2000 when he seemed , in one debate , to enjoy the prospect of executing his wrong - doers a little too much ."
mutation sentence,"His delight in killing people became a campaign issue in 2000 when he seemed , in one debate , to enjoy the prospect of executing some wrong - doers a little too much ."
mutation sentence,"His delight in killing people became a campaign issue in 2000 when he seemed , in one debate , to enjoy the prospect of executing innocent wrong - doers a little too much ."

original sentence,"But more and more , as metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
wrong word,more
mutation sentence,"But more and more recently , as metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more recently , as metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more lately , as metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more lately , as metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more often , as metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more often , as metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more importantly , as metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more importantly , as metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more slowly , as metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more slowly , as metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."

original sentence,"But the longer it takes us to understand the new landscape of this war , the more costly and painful the victory will be ."
wrong word,longer
mutation sentence,"But the much longer it takes us to understand the new landscape of this war , the more costly and painful the victory will be ."
mutation sentence,"But the longer it now takes us to understand the new landscape of this war , the more costly and painful the victory will be ."
mutation sentence,"But the longer it only takes us to understand the new landscape of this war , the more costly and painful the victory will be ."

original sentence,"We have been able to keep ENA 's direct group expenses flat year on year , we are trying hard to keep the corporate allocation flat year to year as well ."
wrong word,hard
